prefix,dbname,project,url
ab,abwiki,wiki,https://ab.wikipedia.org
ace,acewiki,wiki,https://ace.wikipedia.org
ady,adywiki,wiki,https://ady.wikipedia.org
af,afwiki,wiki,https://af.wikipedia.org
af,afwiktionary,wiktionary,https://af.wiktionary.org
af,afwikibooks,wikibooks,https://af.wikibooks.org
af,afwikiquote,wikiquote,https://af.wikiquote.org
ak,akwiki,wiki,https://ak.wikipedia.org
als,alswiki,wiki,https://als.wikipedia.org
am,amwiki,wiki,https://am.wikipedia.org
am,amwiktionary,wiktionary,https://am.wiktionary.org
an,anwiki,wiki,https://an.wikipedia.org
an,anwiktionary,wiktionary,https://an.wiktionary.org
ang,angwiki,wiki,https://ang.wikipedia.org
ang,angwiktionary,wiktionary,https://ang.wiktionary.org
ar,arwiki,wiki,https://ar.wikipedia.org
ar,arwiktionary,wiktionary,https://ar.wiktionary.org
ar,arwikibooks,wikibooks,https://ar.wikibooks.org
ar,arwikinews,wikinews,https://ar.wikinews.org
ar,arwikiquote,wikiquote,https://ar.wikiquote.org
ar,arwikisource,wikisource,https://ar.wikisource.org
ar,arwikiversity,wikiversity,https://ar.wikiversity.org
arc,arcwiki,wiki,https://arc.wikipedia.org
arz,arzwiki,wiki,https://arz.wikipedia.org
as,aswiki,wiki,https://as.wikipedia.org
as,aswikisource,wikisource,https://as.wikisource.org
ast,astwiki,wiki,https://ast.wikipedia.org
ast,astwiktionary,wiktionary,https://ast.wiktionary.org
atj,atjwiki,wiki,https://atj.wikipedia.org
av,avwiki,wiki,https://av.wikipedia.org
ay,aywiki,wiki,https://ay.wikipedia.org
ay,aywiktionary,wiktionary,https://ay.wiktionary.org
az,azwiki,wiki,https://az.wikipedia.org
az,azwiktionary,wiktionary,https://az.wiktionary.org
az,azwikibooks,wikibooks,https://az.wikibooks.org
az,azwikiquote,wikiquote,https://az.wikiquote.org
az,azwikisource,wikisource,https://az.wikisource.org
azb,azbwiki,wiki,https://azb.wikipedia.org
ba,bawiki,wiki,https://ba.wikipedia.org
ba,bawikibooks,wikibooks,https://ba.wikibooks.org
ban,banwiki,wiki,https://ban.wikipedia.org
bar,barwiki,wiki,https://bar.wikipedia.org
bat-smg,bat_smgwiki,wiki,https://bat-smg.wikipedia.org
bcl,bclwiki,wiki,https://bcl.wikipedia.org
be,bewiki,wiki,https://be.wikipedia.org
be,bewiktionary,wiktionary,https://be.wiktionary.org
be,bewikibooks,wikibooks,https://be.wikibooks.org
be,bewikiquote,wikiquote,https://be.wikiquote.org
be,bewikisource,wikisource,https://be.wikisource.org
be-tarask,be_x_oldwiki,wiki,https://be-tarask.wikipedia.org
bg,bgwiki,wiki,https://bg.wikipedia.org
bg,bgwiktionary,wiktionary,https://bg.wiktionary.org
bg,bgwikibooks,wikibooks,https://bg.wikibooks.org
bg,bgwikiquote,wikiquote,https://bg.wikiquote.org
bg,bgwikisource,wikisource,https://bg.wikisource.org
bh,bhwiki,wiki,https://bh.wikipedia.org
bi,biwiki,wiki,https://bi.wikipedia.org
bjn,bjnwiki,wiki,https://bjn.wikipedia.org
bm,bmwiki,wiki,https://bm.wikipedia.org
bn,bnwiki,wiki,https://bn.wikipedia.org
bn,bnwiktionary,wiktionary,https://bn.wiktionary.org
bn,bnwikibooks,wikibooks,https://bn.wikibooks.org
bn,bnwikisource,wikisource,https://bn.wikisource.org
bn,bnwikivoyage,wikivoyage,https://bn.wikivoyage.org
bo,bowiki,wiki,https://bo.wikipedia.org
bpy,bpywiki,wiki,https://bpy.wikipedia.org
br,brwiki,wiki,https://br.wikipedia.org
br,brwiktionary,wiktionary,https://br.wiktionary.org
br,brwikiquote,wikiquote,https://br.wikiquote.org
br,brwikisource,wikisource,https://br.wikisource.org
bs,bswiki,wiki,https://bs.wikipedia.org
bs,bswiktionary,wiktionary,https://bs.wiktionary.org
